nome,preco
Arroz TIO JOÃO Branco ou Parboilizado 5 kg,"25,60"
Feijão Preto CALDO MARROM 1 kg,"6,98"
Azeite Italiano IL GREZZO CASOLARE Tipo Extravirgem 500ml,"29,95"
Azeite Português QUINTA DO ARIEIRO Tipo Extravirgem 500ml,"16,98"
Óleo de Canola ou Girassol SOYA  ou Óleo de Girassol SINHÁ 900ml,"11,98"
"Leite Zero Lactose Desnatado MOLICO ou Leite Zero Lactose Integral, Levinho ou Semidesnatado NINHO  TP 1 L","5,39"
Achocolatado  NESTLÉ NESCAU Sachê 730g,"9,45"
Molho POMAROLA Tradicional ou  Polpa POMODORO TP 520g,"3,85"
Maionese HELLMANN’S  LEVE 600g PAGUE 500g,"5,99"
Mostarda ou Ketchup Vários Tipos HEINZ  255g / 397g,"8,55"
Creme de Leite ITAMBÉ  Lata 300g,"4,45"
Leite Condensado NESTLÉ MOÇA Lata 395g,"5,35"
Queijo Bola BÁSEL (Exceto Light) a Granel,"46,70"
Pão de Queijo FORNO DE MINAS Coquetel ou Lanche Pacotão 1 kg,"21,98"
"Sorvete NESTLÉ Tradicional Vários Sabores 1,5 L","15,90"
Filé de Salmão Congelado COSTA SUL,"87,90"
Polvo Inteiro Português Congelado NIGEL,"87,90"
Picanha Congelada LA ANONIMA,"85,90"
Vinho do Porto  TOWER'S  PORT 750ml,"59,80"
Whisky BALLANTINE´S  Bourbon 750ml,"64,90"
Arroz TIO MINGOTE  Branco ou Parboilizado 5 kg,"17,90"
Arroz  TIO JOÃO COZINHA & SABOR Vários Sabores 175g,"7,99"
Arroz  TIO JOÃO 7 Grãos Integrais  ou 7 Cereais  + Soja 1 kg,"12,50"
Arroz  TIO JOÃO 7 Grãos Integrais Vários Sabores ou 7 Cereais + Soja 500g,"7,98"
Arroz  TIO JOÃO Cozinha Fácil Vários Sabores  200g / 250g,"6,99"
"Arroz  COSTAZZURRA Paella, Arborio ou Carnaroli 1 kg","16,98"
"Arroz CARRETEIRO, MÁXIMO ou CAMIL Integral 1 kg","5,89"
Arroz PRATO FINO  ou TIO JOÃO Integral 1 kg,"6,59"
Feijão Carioca KNORR 1 kg,"6,95"
Feijão Vermelho PINK ou D’NUVA 500g,"5,89"
Feijão Manteiga D’NUVA 500g,"6,98"
Feijão Fradinho  CHINEZINHO 500g,"4,98"
Feijão Branco CHINEZINHO ou PINK 500g,"5,69"
Lentilha CHINEZINHO  ou PINK 500g,"6,98"
Grão-de-Bico CHINEZINHO ou PINK 500g,"6,98"
Canjica YOKI 500g,"2,79"
Farinha de Trigo  ROSA BRANCA  c/ Ferro 1 kg,"2,99"
Farinha de  Mandioca GRANFINO  Vários Tipos 1 kg,"3,98"
Farinha de  Mandioca TIPITY  Vários Tipos 500g,"2,98"
Atum em Pedaços ROBINSON CRUSOE Vários Sabores 170g,"6,35"
Atum Ralado GOMES DA COSTA Vários Sabores 170g,"5,59"
Atum Sólido GOMES DA COSTA Vários Sabores 170g,"7,68"
Sardinhas COQUEIRO Vários Sabores 125g,"3,99"
Sal p/ Churrasco AJI-SAL Parrilla 500g,"19,98"
Kit Caldo KNORR  Galinha + Carne  + Legumes 171g,"2,99"
Molho de Pimenta Importado TABASCO  Red Pepper 60ml,"17,98"
Molho Barbecue HEINZ 397g,"14,80"
Azeitonas Verdes LA VIOLETERA 360g,"12,70"
Azeitonas Verdes VALE FÉRTIL Vários Tipos 160g / 200g,"7,89"
Azeitonas Pretas VALE FÉRTIL Vários Tipos 160g / 200g,"8,99"
Milho-Verde  BONDUELLE Lata 170g,"2,65"
Ervilha  KNORR  Lata 170g,"2,35"
Extrato de Tomate ELEFANTE Pote 310g,"3,95"
Geleia Salgada ou Molho QUEENSBERRY Vários  Sabores 290g / 310g / 320g,"13,50"
Molho POMAROLA Sabores Vários Tipos Sachê 300g,"2,75"
Passata Italiana GRANORO  Dedicato 350g,"7,99"
Queijo Parmesão Ralado  REGINA 100g,"6,99"
Queijo Parmesão Ralado  GRAN MESTRI 40g,"2,99"
Massa Importada BARILLA Cortes Longos 500g,"9,90"
Massa Importada BARILLA Lasanha 250g,"8,99"
Massa RENATA  c/ Ovos Vários Tipos 500g,"3,29"
"Massa RENATA  Integrale, Superiore  ou Tricolori 500g","4,88"
"Massa Italiana GRANORO Spaghetti, Penne, Rigatoni, Bucatini ou Spirali 500g","5,78"
Massa de Sêmola  VILMA Espaguete N.8 1 kg,"3,49"
Achocolatado  TODDY Original  Pote 800g,"10,69"
Composto Lácteo NESTLÉ NINHO Forti + Lata 380g,"11,65"
Cápsulas de Café PILÃO Vários Sabores c/ 10 Unids.,"19,80"
Café Instantâneo PILÃO Coado Sachê 50g,"3,99"
Café Solúvel  PILÃO 100g,"10,99"
Café Instantâneo PIMPINELA Tradicional Sachê 50g,"3,79"
Café Cappuccino  MELITTA Vários  Tipos Lata 200g,"7,99"
Composto Lácteo  DANONE MILNUTRI  Multicereais c/ 2 de 800g GRÁTIS 30%,"63,98"
Cereal NESTLÉ NESCAU 770g,"15,69"
Cereal NESTLÉ SNOW FLAKES  620g,"9,89"
Chá LEÃO Vários  Sabores (Exceto  Fuze e Verde) c/ 10 Saquinhos,"2,55"
Composto Lácteo Desnatado NESTLÉ Molico Zero Lactose 260g,"19,98"
Composto Lácteo NESTLÉ Ninho Zero Lactose 700g,"37,98"
Aveia em Flocos NESTLÉ 340g,"5,99"
Cereal Matinal NESTLÉ Nesfit Sabores 220g,"10,98"
Achocolatado NESTLÉ Nescau 33% Menos Açúcares Sachê 760g,"14,88"
NESTLÉ Nutren Senior sem Sabor Pack c/ 2 de 740g Grátis 30% na 2ª Unidade,"169,90"
Creme de Avelã c/ Cacau RITTER 250g,"11,98"
Gelatina DR. OETKER Vários Sabores 20g,"0,94"
Geleia de Mocotó INDALI Vários Tipos TP 210g / 220g,"2,49"
Geleia Francesa ST.DALFOUR Vários Sabores 284g,"33,90"
Mistura p/ Bolo DR. OETKER  Vários Sabores  300g / 400g / 430g / 450g,"3,49"
