nome,preco
Margarina Claybom Tradicional • 500g ,"3,99"
Muçarela Peça ou Pedaço • Kg ,"24,98"
Pernil Suíno com Osso e com Pele Congelado • Kg ,"12,97"
Costela Bovina Friboi Peça • Kg ,"19,98"
"Refrigerante Coca-Cola Original Pet • 2L ou Coca-Cola Sem Açúcar Pet • 2,25L ","6,99"
Cerveja Antarctica Lata • 350ml Pack com 18 Unidades ,"41,22"
Cerveja Skol Pilsen Lata • 269ml ,"1,79"
Whisky Escocês Ballantine's Finest • 750ml ,"49,90"
Vinho Chileno Santa Vita Reserva Especial • 750ml ,"19,90"
Vinho Chileno Sol de Chile ou Isla Del Sur Reservado • 750ml ,"19,90"
Vinho Vinhedos do Vale do São Francisco • 750ml ,"10,98"
Gin Nacional Rock's • 1L ,"29,90"
Vodka Sueca Absolut Original • 750ml ,"49,90"
Vodka Smirnoff Red • 998ml ,"29,90"
Arroz Branco Dona Elza ou Ponta Alegre • 5Kg ,"16,90"
Feijão Preto ou Carioca Máximo Tipo 1 • 1Kg ,"6,99"
Azeite Tipo Único Gallo Vidro • 500ml ,"16,98"
Alimento Infantil Nestlé Sabores • 115g/120g ,"2,67"
"Leite Longa Vida Godam ou Tirol UHT • 1L (Integral, Semidesnatado ou Desnatado) ","3,77"
Papel Higiênico Carinho Super Macio Folha Dupla Neutro de 30m C/ 12 Unidades ,"8,98"
Amaciante Concentrado Downy Fragrâncias • 450ml/500ml ,"6,99"
"Lava Roupas em Pó Tixan Ypê Primavera Sachê • 1,7Kg ","9,98"
